PORT,Country,AGENDA FOR NAVAL USE,SHARE OWNERSHIP,INV (in M$),INV. TYPE,CONST. START,CONST. END,Cooperative enterprise,Latitude,Longitude,scaled_investment
Darwin Port 99-Year Lease,Australia,Yes,"0,00%",360,Lease,2015,,Landbridge Group,-12.4882,130.8983,360000
Newcastle Port Acquisition,Australia,Yes,"50,00%",420,Joint Venture,2018,,China Merchants Port,-32.9259,151.7772,420000
Melbourne Port 50-Year Lease,Australia,Yes,"0,00%",0,Joint Venture,2016,,China Soverign Wealth Fund CIC,-37.8136,144.9631,1
Korea Express Busan Container Terminal (KBCT) Terminal Acquisition,South Korea,Unclear,"20,00%",0,Acquisition,2015,,Zhonghai Port,35.2100142,129.0688702,1
Zarubino Port Development Project,Russia,Unclear,"0,00%",0,Joint Venture,2014,2018.0,China Merchants Group,42.645603,131.066605,1
Seattle Container Terminals N0.25. 28. 30 Rental,U.S.,Unclear,"0,00%",56,Joint Venture,2008,,China Shipping Group,47.6061,-122.328,56000
Port of Los Angeles Pier Rental No.100. 102,U.S.,Yes,"0,00%",110,Lease,2009,2014.0,China Shipping Group,33.7395459,-118.2599686,110000
North Abaco Island Port Project (Concessional Loan),Bahamas,No,"0,00%",39,Turnkey,2014,2016.0,China Harbour,26.7871697,-77.4357739,39000
Tuxpan Port Container Terminal Project,Mexico,Yes,"0,00%",45,Greenfield,2014,2016.0,"China Harbour General Contracting, CCCC Third Navigation Bureau Third Engineering Co., Ltd. Is responsible for construction",20.9561149,-97.4063351,45000
Port of Veracruz Project,Mexico,Yes,"0,00%",230,Turnkey,2018,2021.0,CHEC and CCCC,19.173773,-96.134241,230000
Port of Balboa Container Phase 3 - Terminal Panel and Dredging Project,Panama,Yes,"0,00%",30,Greenfield,2012,2015.0,China Harbour,8.9575459,-79.5613708,30000
Posorha Deepwater Port Project,Ecuador,Yes,"0,00%",110,Turnkey,2017,,China Harbour,-2.710949,-80.2516473,110000
Chancay Terminal Acquisition,Peru,Yes,"60,00%",230,Acquisition,2019,,COSCO Shipping,-11.5666572,-77.2685791,230000
San Antonio Pier Expansion Project,Chile,Yes,"0,00%",44,Greenfield,2015,2016.0,China Harbour,-33.5745,-71.6268,44000
Paranagua Port Terminal (TCP) Acquisition,Brazil,Yes,"90,00%",920,Acquisition,2017,,China Merchants Port Holdings Limited,-25.515148,-48.5224133,920000
,,,,0,,,,,,,1
